subject,file,lineno,LEC,DNC,NCT,experience-based,statistics-based,tuning machine
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,4,,2,1,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,13,,2,1,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,14,,2,1,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,15,,2,1,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,16,,2,1,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,20,,2,1,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,30,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,38,2,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,39,2,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,40,2,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,41,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,41,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,41,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,41,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,41,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,41,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,43,2,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,43,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,43,2,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,43,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,46,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,46,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,46,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,46,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,46,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,46,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,48,2,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,48,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,48,2,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,48,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,51,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,51,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,51,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,51,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,51,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,51,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,53,2,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,53,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,53,2,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,53,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,58,2,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,59,2,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,60,2,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,61,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,61,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,61,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,61,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,61,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,61,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,63,2,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,63,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,63,2,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,63,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,66,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,66,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,66,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,66,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,66,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,66,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,68,2,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,68,1,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,68,2,,,0,0,0
detection,/Users/ganimzawhar/Desktop/Pysmell/pysmell/detection/detector.py,68,1,,,0,0,0
